LKQ code;IC - konkurenční kód;Název;oe;Typ auta;Výskyt registrovaných aut na trhu;EAN;Odhad prodeje 2026
ST-ADT42730-3L;5703-06-3547573P;L lišta dveří;2E1853535C;MERCEDES-BENZ | SPRINTER 3,5-t bus (B906) [06\06-09\20] | 310 CDI (906.731, 906.733, 906.735) (2143ccm\70kW\95HP) [03\09-12\16];20606;100.13863;288
ST-ADT42730-3R;5703-06-3547574P;P boční lišta;2E1853536C;MERCEDES-BENZ | SPRINTER 3,5-t bus (B906) [06\06-09\20] | 310 CDI (906.731, 906.733, 906.735) (2143ccm\70kW\95HP) [03\09-12\16];20606;100.13864;288
ST-ADT42730-4L;5703-06-3547577P;L lišta zadních dveří;2E1853753D;MERCEDES-BENZ | SPRINTER 3,5-t bus (B906) [06\06-09\20] | 310 CDI (906.731, 906.733, 906.735) (2143ccm\70kW\95HP) [03\09-12\16];20606;100.13865;288
ST-ADT42730-4R;5703-06-3547578P;P lišta zadních dveří;2E1853536CG;MERCEDES-BENZ | SPRINTER 3,5-t bus (B906) [06\06-09\20] | 310 CDI (906.731, 906.733, 906.735) (2143ccm\70kW\95HP) [03\09-12\16];20606;100.13866;288
ST-ADT42730-5L;5703-04-3547583P;L lišta předních dveří;2E0853517;MERCEDES-BENZ | SPRINTER 3,5-t bus (B906) [06\06-09\20] | 309 CDI (906.731, 906.733, 906.735) (2148ccm\65kW\88HP) [04\12-12\19];39167;100.13855;548
ST-ADT42730-L;5703-06-3547571P;L boční lišta;2E0853515;MERCEDES-BENZ | SPRINTER 3,5-t bus (B906) [06\06-09\20] | 310 CDI (906.731, 906.733, 906.735) (2143ccm\70kW\95HP) [03\09-12\16];20457;100.13859;286
ST-ADT42730-R;5703-06-3547572P;P boční lišta;2E0853516;MERCEDES-BENZ | SPRINTER 3,5-t bus (B906) [06\06-09\20] | 310 CDI (906.731, 906.733, 906.735) (2143ccm\70kW\95HP) [03\09-12\16];20457;100.13860;286
ST-ADT90170-1L;5703-04-8182573P;L lišta zadních dveří;75742F4010;TOYOTA | C-HR (NGX1, NGX5_, ZYX1_) [10\16-] | 1.2 (NGX10_, NGX10R) (1197ccm\85kW\116HP) [10\16-];3355;NBJ70-12441;67
ST-ADT90170-1R;5703-04-8182574P;P lišta zadních dveří;75741F4010;TOYOTA | C-HR (NGX1, NGX5_, ZYX1_) [10\16-] | 1.2 (NGX10_, NGX10R) (1197ccm\85kW\116HP) [10\16-];3355;NBJ70-12442;67
ST-ADT90170-L;5703-04-8182571P;L lišta předních dveří;75732F4010;TOYOTA | C-HR (NGX1, NGX5_, ZYX1_) [10\16-] | 1.2 (NGX10_, NGX10R) (1197ccm\85kW\116HP) [10\16-];3355;NBJ70-12431;67
ST-ADT90170-R;5703-04-8182572P;P lišta předních dveří;75731F4010;TOYOTA | C-HR (NGX1, NGX5_, ZYX1_) [10\16-] | 1.2 (NGX10_, NGX10R) (1197ccm\85kW\116HP) [10\16-];3355;NBJ70-12432;67
ST-AEC16690;6601-05-0000051Q;spodní kryt motoru;9818834580;CITROËN | BERLINGO (ER_, EC_) [06\18-] | 1.2 PureTech 110 (1199ccm\81kW\110HP) [06\18-];14283;1555770;400
ST-AEC32103-L;6601-02-5055881P;L ochranný kryt předního nárazníku;9840237580;OPEL | ASTRA L (OV5) [10\21-] | 1.2 (FPHNPJ) (1199ccm\81kW\110HP) [10\21-];69;P1-AT22B-1;1
ST-AEC32103-R;6601-02-5055882P;P kryt spojlera předního nárazníku;9840237480;OPEL | ASTRA L (OV5) [10\21-] | 1.2 (FPHNPJ) (1199ccm\81kW\110HP) [10\21-];69;P1-AT22B-2;1
